Group,Deposit
B,0
B,6880
B,0
B,0
A,0
A,0
B,0
A,27
A,0
A,11
B,0
A,18
A,0
B,0
B,16
B,650
A,0
B,17
B,17
B,0
A,0
A,0
A,0
B,16
A,20
B,15
B,52
B,8
A,7
B,0
A,92
B,0
B,8
A,0
A,0
B,82
B,50
B,8
B,0
B,7
B,272
A,0
B,18
A,0
B,0
B,19
A,0
B,0
B,20
B,65
B,0
B,0
A,8
B,20
A,0
B,20
B,0
A,19
B,90
A,11
A,15
A,0
A,0
B,50
A,46
A,1673
A,10
A,18
A,9
B,50
A,16
B,50
A,21
A,0
B,50
B,50
B,50
A,1824
A,0
A,60
B,50
A,13
B,50
B,50
A,0
A,10
A,0
A,19
A,0
B,50
B,50
A,106
B,0
B,955
A,72
A,0
A,0
B,0
B,0
A,8
B,0
B,0
B,7
B,56
B,9
B,37
A,10
A,0
A,761
A,17
B,0
B,255
A,0
A,0
A,0
B,7
A,57
B,653
A,18
A,0
B,0
B,0
A,0
A,0
A,0
A,98
B,0
B,0
B,5
B,0
B,261
B,35
A,0
B,64
A,17
B,5
B,86
B,0
A,0
A,0
B,17
A,64
B,0
B,0
A,0
A,0
B,18
A,237
B,0
B,0
A,0
A,0
A,18
A,0
A,73
A,3357
A,0
A,0
A,12
A,20
A,71
B,19
B,0
B,0
A,42
A,0
B,6
A,0
B,19
B,62
B,5
A,5
A,15
B,35
B,0
B,0
B,12
A,0
B,0
A,10
B,11
B,0
B,586
B,6
B,0
A,8
A,0
B,0
A,18
A,5
A,7054
A,13
A,0
B,50
A,0
B,50
B,50
B,50
A,0
A,0
B,50
B,50
B,50
A,14
A,0
A,15
B,50
A,0
A,1003
B,50
A,18
B,50
A,89
B,50
A,0
B,290
A,6
B,19
B,0
B,0
B,0
A,0
B,87
B,0
B,0
B,0
B,0
B,33
B,0
A,0
B,0
A,0
A,0
A,0
A,0
B,16
A,0
A,0
A,0
B,97
A,0
A,0
B,0
B,72
A,0
A,0
B,0
A,0
A,0
B,926
B,0
B,0
A,8
A,0
A,0
B,0
A,7
A,0
B,0
B,14
A,12
B,0
A,171
A,14
B,990
A,0
B,15
B,50
A,0
B,50
A,113
A,18
B,50
A,0
B,50
A,0
A,0
A,0
A,82
A,0
B,50
A,0
B,50
B,50
B,50
A,7
A,0
B,50
A,50
A,0
A,7
B,50
B,50
B,50
A,0
B,50
B,50
B,10
A,37
A,16
A,72
A,49
A,20
A,0
A,15
B,0
B,61
A,57
B,0
B,0
A,87
B,16
B,0
B,23
B,0
A,10
B,0
B,58
A,19
A,9
A,14
A,8
A,662
B,86
A,0
A,64
A,6
B,51
A,0
B,14
B,0
A,0
A,0
B,0
A,0
B,0
A,8
A,0
A,0
B,10
A,13
B,0
A,0
A,0
B,0
B,13
A,2242
B,56
B,0
B,332
B,0
B,0
B,0
B,67
A,14
A,37
A,47
B,0
A,0
