"","X","age","net","gun","sex","year","nruns","runs_again"
"1",3,33,NA,92.4,"M",2007,4,TRUE
"2",7,30,82.37,85.7,"M",2006,3,FALSE
"3",10,29,69.32,69.68,"M",2004,4,TRUE
"4",14,28,79.7,80.42,"M",2002,8,TRUE
"5",22,33,NA,105.4,"F",2008,3,FALSE
"6",25,32,111.8,121.2,"M",2006,3,FALSE
"7",28,22,104.2,104.2,"F",2005,5,TRUE
"8",33,28,76.57,76.88,"F",2003,4,TRUE
"9",37,34,89.1,92.05,"M",2001,8,TRUE
"10",45,57,112.2,114.8,"M",2006,4,TRUE
"11",49,33,97.62,100.2,"F",2006,4,TRUE
"12",53,39,78.93,81.72,"M",2005,6,TRUE
"13",59,44,83.47,85.83,"M",2006,4,TRUE
"14",63,24,NA,101.5,"M",2007,4,TRUE
"15",67,31,NA,68.92,"M",2008,3,FALSE
"16",70,27,NA,97.7,"M",2007,4,TRUE
"17",74,33,NA,105.5,"M",2008,3,FALSE
"18",77,17,NA,75.67,"M",2008,3,FALSE
"19",80,34,75.1,75.32,"M",2001,4,TRUE
"20",84,29,NA,77.78,"M",2007,4,TRUE
"21",88,41,NA,84.97,"M",2007,4,TRUE
"22",92,29,108,115.3,"M",2006,5,TRUE
"23",97,30,71.85,75.82,"M",2006,3,FALSE
"24",100,23,63.63,63.68,"M",2004,4,TRUE
"25",104,31,83.08,87.5,"M",2002,3,FALSE
"26",107,28,NA,74.48,"M",2007,3,FALSE
"27",110,35,NA,87.98,"M",2007,4,TRUE
"28",114,31,83.42,86.27,"M",2003,3,FALSE
"29",117,28,NA,77.9,"M",2008,3,FALSE
"30",120,32,NA,84.52,"M",2008,3,FALSE
"31",123,26,71.55,72.08,"M",2002,8,TRUE
"32",131,32,NA,82.28,"M",2007,3,FALSE
"33",134,40,NA,85.37,"F",2007,3,FALSE
"34",137,58,95.33,97.83,"M",2003,4,TRUE
"35",141,52,99.63,103.3,"M",2005,3,FALSE
"36",144,36,NA,68.78,"M",2007,4,TRUE
"37",148,52,82.93,87.02,"M",2002,3,FALSE
"38",151,49,110.8,114.6,"F",2005,4,TRUE
"39",155,53,113.8,119.8,"M",2002,3,FALSE
"40",158,42,86.93,95.12,"F",2001,5,TRUE
"41",163,27,86.03,91.33,"F",2005,3,FALSE
"42",166,33,99.15,100.1,"M",2005,3,FALSE
"43",169,38,114.4,122.9,"F",2002,8,TRUE
"44",177,25,94.38,99.4,"F",2001,3,FALSE
"45",180,31,NA,80.25,"F",2007,3,FALSE
"46",183,42,NA,74.78,"F",2008,3,FALSE
"47",186,40,62.77,62.77,"M",2004,4,TRUE
"48",190,41,75.37,75.77,"M",2001,9,TRUE
"49",199,51,NA,79.08,"M",2007,4,TRUE
"50",203,47,74.45,74.6,"M",2003,6,TRUE
"51",209,53,109.6,115.2,"M",2004,6,TRUE
"52",215,54,126.8,133,"M",2002,4,TRUE
"53",219,46,NA,97.07,"M",2007,3,FALSE
"54",222,55,88.7,97.63,"M",2005,4,TRUE
"55",226,51,94.95,99.57,"M",2006,5,TRUE
"56",231,51,64.77,64.9,"M",2004,6,TRUE
"57",237,33,NA,84.5,"M",2007,4,TRUE
"58",241,66,76.88,76.98,"M",2002,8,TRUE
"59",249,52,84.15,85.18,"M",2004,4,TRUE
"60",253,44,88.2,91.83,"M",2001,3,FALSE
"61",256,41,87.38,89.2,"M",2003,6,TRUE
"62",262,35,68.67,70.02,"M",2006,5,TRUE
"63",267,52,93.75,95.67,"M",2003,6,TRUE
"64",273,35,106.4,111.5,"M",2006,4,TRUE
"65",277,56,NA,94.7,"M",2007,4,TRUE
"66",281,46,84.63,84.9,"M",2006,5,TRUE
"67",286,67,129,132,"M",2001,6,TRUE
"68",292,38,73.55,74.08,"M",2004,5,TRUE
"69",297,47,74.2,75.23,"M",2005,3,FALSE
"70",300,32,67.82,68.1,"M",2002,5,TRUE
"71",305,34,NA,86.07,"F",2008,3,FALSE
"72",308,25,63.43,64.55,"M",2006,3,FALSE
"73",311,49,81.33,82.37,"M",2004,3,FALSE
"74",314,33,81.65,83.83,"M",2006,3,FALSE
"75",317,48,84.48,88.85,"M",2001,3,FALSE
"76",320,24,NA,60.07,"M",2008,3,FALSE
"77",323,24,NA,84.45,"M",2008,3,FALSE
"78",326,33,84.1,87.72,"M",2005,4,TRUE
"79",330,25,82.13,83.42,"F",2005,5,TRUE
"80",335,44,93.4,95.95,"F",2002,3,FALSE
"81",338,33,82.32,89.02,"M",2003,5,TRUE
"82",343,61,83.63,86.02,"M",2002,6,TRUE
"83",349,31,77.38,78.62,"M",2001,5,TRUE
"84",354,31,79.4,81.07,"M",2005,3,FALSE
"85",357,40,92.07,94.02,"F",2005,3,FALSE
"86",360,30,NA,76.77,"F",2007,3,FALSE
"87",363,35,85.42,86.65,"F",2005,5,TRUE
"88",368,35,67.67,68.03,"M",2005,5,TRUE
"89",373,29,94.8,99.57,"F",2004,4,TRUE
"90",377,49,90.18,92.95,"M",2003,5,TRUE
"91",382,29,NA,110.2,"F",2007,3,FALSE
"92",385,33,96.72,103.1,"F",2003,4,TRUE
"93",389,55,75.15,75.27,"F",2004,7,TRUE
"94",396,55,112.4,116.5,"F",2004,3,FALSE
"95",399,26,NA,80.98,"F",2007,4,TRUE
"96",403,44,114.5,114.6,"F",2002,5,TRUE
"97",408,32,85.65,88.55,"F",2003,5,TRUE
"98",413,36,105.1,111.1,"F",2004,4,TRUE
"99",417,30,NA,104.8,"F",2008,3,FALSE
"100",420,37,NA,85.52,"F",2008,3,FALSE
"101",423,36,NA,76.55,"F",2008,3,FALSE
"102",426,27,92.87,97.6,"F",2001,4,TRUE
"103",430,37,NA,87.98,"F",2007,3,FALSE
"104",433,23,80.48,87.08,"F",2006,4,TRUE
"105",437,31,NA,89.63,"F",2007,3,FALSE
"106",440,38,89.78,92.4,"F",2005,3,FALSE
"107",443,27,99.23,105.8,"F",2005,3,FALSE
"108",446,26,75.7,76.92,"F",2006,3,FALSE
"109",449,28,NA,104.5,"F",2008,3,FALSE
"110",452,27,NA,112,"F",2008,3,FALSE
"111",455,40,88.32,89.12,"F",2003,7,TRUE
"112",462,61,NA,103.7,"M",2007,3,FALSE
"113",465,47,78.07,79.48,"M",2003,7,TRUE
"114",472,45,75.1,78.62,"M",2002,6,TRUE
"115",478,35,82.95,84.2,"M",2006,5,TRUE
"116",483,50,85.45,88.3,"M",2004,4,TRUE
